event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,behavioural-classification,gps:hdop,gps:satellite-count,habitat,height-above-ellipsoid,manually-marked-outlier,tag-tech-spec,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
21076590255,true,2021-06-25 02:59:00.000,-83.8451,41.53434,,"B1",1.1,9,"",188.11,,"1.9","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076590252,true,2021-08-15 02:56:00.000,-83.84567,41.53442,,"B1",1.2,7,"",194.13,,"2.8","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076590254,true,2021-08-19 02:56:00.000,-83.84562,41.53442,,"B1",1.9,5,"",189.07,,"0.9","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076590260,true,2021-08-23 02:56:00.000,-83.84019,41.537,,"B1",2.4,6,"",147.84,,"2.8","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076590259,true,2021-08-27 02:56:00.000,-83.84055,41.53697,,"B1",1.6,7,"",187.07,,"1.6","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076590256,true,2021-08-31 02:55:00.000,-83.84133,41.5365,,"B1",1.5,6,"",187.51,,"0.4","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076590251,true,2021-09-04 02:55:00.000,-83.84571,41.53569,,"B1",1.1,7,"",206.31,,"2.9","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076590249,true,2021-09-08 02:55:00.000,-83.84585,41.53466,,"B1",1.2,8,"",196.81,,"1.2","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076590253,true,2021-09-12 02:55:00.000,-83.84564,41.53443,,"B1",1.5,6,"",196.62,,"0.9","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076590250,true,2021-09-16 02:54:00.000,-83.84578,41.53533,,"B1",1.4,7,"",172.84,,"2.3","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076590258,true,2021-09-20 02:54:00.000,-83.84096,41.53758,,"B1",2.1,6,"",173.45,,"1.6","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076590257,true,2021-09-24 02:54:00.000,-83.84097,41.53773,,"B1",5.7,6,"",180.79,,"0.8","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076590224,true,2021-09-28 02:54:00.000,-83.8852,40.97442,,"FM",1.3,7,"",832.45,,"59","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076588189,true,2021-10-02 02:54:00.000,-98.28864,27.40025,,"Stop1",1.4,6,"TX",63.32,,"1.7","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076588188,true,2021-10-06 02:53:00.000,-98.28941,27.39992,,"Stop1",3.5,6,"TX",42.56,,"0.8","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076588194,true,2021-10-10 02:53:00.000,-98.08861,24.28401,,"FM",1.3,8,"",87.48,,"1.5","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076588445,true,2021-10-14 02:53:00.000,-95.48369,17.17515,,"LFW",1.3,6,"",546.62,,"1.7","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076588412,true,2021-10-18 02:53:00.000,-95.5788,17.1296,,"W1",3.9,6,"",380.19,,"0.6","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076588409,true,2021-10-22 02:53:00.000,-95.57907,17.1295,,"W1",3.1,4,"",380.19,,"0.1","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076588418,true,2021-10-26 02:52:00.000,-95.57831,17.12961,,"W1",1.6,7,"",358.57,,"1","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076588430,true,2021-11-03 02:52:00.000,-95.57739,17.12983,,"W1",2.3,5,"",356.18,,"0.5","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076588431,true,2021-11-08 02:52:00.000,-95.57739,17.12984,,"W1",4.1,5,"",350.79,,"0.6","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076588426,true,2021-11-13 02:51:00.000,-95.57803,17.1298,,"W1",2.6,4,"",350.79,,"0.1","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076588411,true,2021-11-18 02:51:00.000,-95.57888,17.12967,,"W1",1.7,6,"",316.62,,"0.9","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076588416,true,2021-11-23 02:51:00.000,-95.57841,17.12961,,"W1",2.8,5,"",394.89,,"0.6","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
21076588432,true,2021-11-28 02:51:00.000,-95.57734,17.12971,,"W1",3.3,5,"",353.58,,"0.8","gps","Antrostomus vociferus","1757","135292239","GPS tracking of eastern whip-poor-will"
